Time(s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017924351204521953,0.0,0.0,0.0
0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019722911651887613,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002144116779900739,0.0,0.0,0.0
0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022995658738846313,0.0,0.0,0.0
0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024287784070444835,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00252158357420151,0.0,0.0,0.0
0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002570473115367138,0.0,0.0,0.0
0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002574872992952176,0.0,0.0,0.0
0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002545588177193506,0.0,0.0,0.0
0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002507792539077274,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025007575864902983,0.0,0.0,0.0
0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002572811522607228,0.0,0.0,0.0
0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027708763843379575,0.0,0.0,0.0
0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003125308288123227,0.0,0.0,0.0
0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036324651840308197,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004239074489825976,0.0,0.0,0.0
0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004833554460291725,0.0,0.0,0.0
0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005249393752338026,0.0,0.0,0.0
0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005284052472939833,0.0,0.0,0.0
0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047334555183490504,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003437355720425096,0.0,0.0,0.0
0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013256795037503485,0.0,0.0,0.0
0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015477953528645495,0.0,0.0,0.0
0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004998100877103678,0.0,0.0,0.0
0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00873595216191047,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01242522475492315,0.0,0.0,0.0
0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015754592630922798,0.0,0.0,0.0
0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018500005945239432,0.0,0.0,0.0
0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020558601586029873,0.0,0.0,0.0
0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021947123161090962,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022771577727558886,0.0,0.0,0.0
